[INFO ] 2015-07-13 10:29:28,196 [MSC service thread 1-4] Logback logging API implementation is configured.
[INFO ] 2015-07-13 10:29:31,173 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 10:29:31,220 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 10:29:31,250 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 10:37:28,611 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 10:37:28,612 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 10:37:28,616 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 10:38:10,286 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 10:38:10,396 [default task-9] Request for query 3392903 is finished
[INFO ] 2015-07-13 10:38:10,490 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 10:38:10,704 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 10:38:13,140 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 10:38:13,145 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 10:38:13,155 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 10:38:13,471 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 10:43:32,212 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 10:43:32,266 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 10:43:32,296 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 10:43:32,549 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 10:43:32,559 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 10:44:45,430 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 10:44:45,432 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 10:44:45,454 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 10:44:45,506 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 10:44:45,509 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 11:12:28,202 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 11:12:28,204 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 11:12:28,223 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 11:12:28,269 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 11:12:28,275 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 11:12:28,310 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 11:12:28,313 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 11:16:32,440 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 11:16:32,442 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 11:16:32,459 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 11:16:32,500 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 11:16:32,503 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 11:16:32,546 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 11:16:32,550 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 11:35:35,004 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 11:35:35,006 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 11:35:35,010 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 11:35:35,041 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 11:35:35,043 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 11:35:35,079 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 11:35:35,081 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 11:35:59,120 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 11:35:59,121 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 11:35:59,138 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 11:35:59,176 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 11:35:59,179 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 11:35:59,207 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 11:35:59,209 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 11:36:18,731 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 11:36:18,882 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 11:48:07,832 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 11:48:07,834 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 11:48:07,853 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 11:48:07,898 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 11:48:07,901 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 11:48:07,935 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 11:48:07,937 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:16:51,167 [MSC service thread 1-1] Logback logging API implementation is configured.
[INFO ] 2015-07-13 14:16:56,316 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 14:16:56,355 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 14:16:56,385 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 14:19:16,521 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 14:19:16,612 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 14:19:16,629 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:19:16,906 [repositories/fiteagle] GET query -439247579
